site,sample_id,latitude_wgs84,longitude_wgs84,date,rake_teeth_corr,species,rake_prop
Big Break,1,38.008862761688135,-121.7108554442108,2021-07-22,100,Myriophyllum_spicatum,100
Big Break,2,38.009637341338824,-121.72062691104637,2021-07-22,50,Elodea_canadensis,30
Big Break,2,38.009637341338824,-121.72062691104637,2021-07-22,50,Myriophyllum_spicatum,70
Big Break,3,38.0102111885029,-121.71171078235793,2021-07-22,100,Cabomba_caroliniana,10
Big Break,3,38.0102111885029,-121.71171078235793,2021-07-22,100,Elodea_canadensis,10
Big Break,3,38.0102111885029,-121.71171078235793,2021-07-22,100,Myriophyllum_spicatum,60
Big Break,3,38.0102111885029,-121.71171078235793,2021-07-22,100,Potamogeton_crispus,10
Big Break,4,38.011385107633096,-121.71722770702937,2021-07-22,100,Ceratophyllum_demersum,30
Big Break,4,38.011385107633096,-121.71722770702937,2021-07-22,100,Elodea_canadensis,40
Big Break,4,38.011385107633096,-121.71722770702937,2021-07-22,100,Myriophyllum_spicatum,30
Big Break,5,38.01142765553883,-121.72206764884086,2021-07-22,100,Elodea_canadensis,10
Big Break,5,38.01142765553883,-121.72206764884086,2021-07-22,100,Myriophyllum_spicatum,40
Big Break,5,38.01142765553883,-121.72206764884086,2021-07-22,100,Stuckenia_pectinata,50
Big Break,6,38.01168616979978,-121.7226784783778,2021-07-22,100,Myriophyllum_spicatum,80
Big Break,6,38.01168616979978,-121.7226784783778,2021-07-22,100,Stuckenia_pectinata,20
Big Break,7,38.01227539744526,-121.69650836960112,2021-07-22,100,Ceratophyllum_demersum,10
Big Break,7,38.01227539744526,-121.69650836960112,2021-07-22,100,Egeria_densa,10
Big Break,7,38.01227539744526,-121.69650836960112,2021-07-22,100,Potamogeton_richardsonii,50
Big Break,7,38.01227539744526,-121.69650836960112,2021-07-22,100,Stuckenia_pectinata,30
Big Break,8,38.012642863430706,-121.7113855694825,2021-07-22,40,Ceratophyllum_demersum,100
Big Break,9,38.01294426234186,-121.70655950541445,2021-07-22,100,Elodea_canadensis,100
Big Break,10,38.01324523280663,-121.70603649673642,2021-07-22,80,Ceratophyllum_demersum,20
Big Break,10,38.01324523280663,-121.70603649673642,2021-07-22,80,Elodea_canadensis,30
Big Break,10,38.01324523280663,-121.70603649673642,2021-07-22,80,Myriophyllum_spicatum,20
Big Break,10,38.01324523280663,-121.70603649673642,2021-07-22,80,Potamogeton_richardsonii,30
Big Break,11,38.01519645559859,-121.7075557623174,2021-07-22,0,NA,NA
Big Break,12,38.01561944247643,-121.71808627746036,2021-07-22,50,Stuckenia_pectinata,100
Big Break,13,38.01571190632184,-121.6867745031426,2021-07-22,100,Egeria_densa,100
Big Break,14,38.01585527093973,-121.69358237587834,2021-07-22,30,Stuckenia_pectinata,100
Big Break,15,38.0160894125461,-121.68636782891636,2021-07-22,100,Potamogeton_richardsonii,100
Big Break,16,38.01631501859649,-121.7020034381715,2021-07-22,30,Stuckenia_pectinata,100
Big Break,17,38.016584408986766,-121.68801315906737,2021-07-22,100,Potamogeton_richardsonii,100
Big Break,18,38.01724178343893,-121.72517014869098,2021-07-22,30,Ceratophyllum_demersum,30
Big Break,18,38.01724178343893,-121.72517014869098,2021-07-22,30,Egeria_densa,70
Big Break,19,38.017483628268074,-121.71491001969363,2021-07-22,40,Potamogeton_richardsonii,50
Big Break,19,38.017483628268074,-121.71491001969363,2021-07-22,40,Stuckenia_pectinata,50
Big Break,20,38.017691433008174,-121.68657627136872,2021-07-22,100,Potamogeton_richardsonii,60
Big Break,20,38.017691433008174,-121.68657627136872,2021-07-22,100,Stuckenia_pectinata,30
Big Break,20,38.017691433008174,-121.68657627136872,2021-07-22,100,Unidentified,10
Big Break,21,38.0181324412438,-121.70837899455468,2021-07-22,100,Najas_guadalupensis,30
Big Break,21,38.0181324412438,-121.70837899455468,2021-07-22,100,Potamogeton_richardsonii,20
Big Break,21,38.0181324412438,-121.70837899455468,2021-07-22,100,Stuckenia_pectinata,50
Big Break,22,38.018622131818184,-121.7181771418171,2021-07-22,70,Stuckenia_pectinata,100
Big Break,23,38.0188214379968,-121.70499674879234,2021-07-22,100,Ceratophyllum_demersum,10
Big Break,23,38.0188214379968,-121.70499674879234,2021-07-22,100,Egeria_densa,10
Big Break,23,38.0188214379968,-121.70499674879234,2021-07-22,100,Stuckenia_pectinata,80
Big Break,24,38.01914390889344,-121.72205149498453,2021-07-22,100,Potamogeton_richardsonii,80
Big Break,24,38.01914390889344,-121.72205149498453,2021-07-22,100,Stuckenia_pectinata,20
Big Break,25,38.01961067666757,-121.71416707744108,2021-07-22,50,Stuckenia_pectinata,100
Big Break,26,38.01971260870596,-121.69336752177844,2021-07-22,100,Ceratophyllum_demersum,20
